# %ECSV 1.0
# ---
# datatype:
# - {name: t_mjd, datatype: float64}
# - {name: t_bjd, datatype: float64}
# - {name: t_visit, datatype: float64}
# - {name: t_orbit, datatype: float64}
# - {name: ivisit, datatype: float64}
# - {name: iorbit, datatype: float64}
# - {name: scan, datatype: float64}
# - {name: spec_opt, datatype: float64}
# - {name: var_opt, datatype: float64}
# - {name: spec_box, datatype: float64}
# - {name: var_box, datatype: float64}
# schema: astropy-2.0
t_mjd t_bjd t_visit t_orbit ivisit iorbit scan spec_opt var_opt spec_box var_box
59455.402036805 2459455.9072543806 286.7369292676449 1.0167758166790009 0.0 3.0 1.0 661052599.4731445 676993906.1679688 660526632.9912109 679511842.0703125
59455.40274273 2459455.9079602845 287.7534308284521 2.033277377486229 0.0 3.0 0.0 660629750.0224609 676600539.3828125 660156412.0673828 679180107.4179688
59455.40344884 2459455.9086663737 288.7701992690563 3.050045818090439 0.0 3.0 1.0 661341752.1235352 677340326.1015625 660831827.9267578 679930601.5625
59455.404154765 2459455.9093722766 289.78669948875904 4.0665460377931595 0.0 3.0 0.0 660746296.5751953 676681753.2539062 660267330.9233398 679255408.7773438
59455.404860875 2459455.9100783644 290.8034659177065 5.083312466740608 0.0 3.0 1.0 661292444.9257812 677268919.4960938 660788542.5761719 679818139.0273438
59455.405566805 2459455.9107842715 291.8199721723795 6.099818721413612 0.0 3.0 0.0 660933643.4663086 676953806.1601562 660451976.3574219 679511848.015625
59455.406272915 2459455.9114903584 292.83673726022243 7.116583809256554 0.0 3.0 1.0 661315221.6088867 677270831.6757812 660802655.0209961 679832256.5585938
59455.406978839994 2459455.912196259 293.8532341271639 8.133080676198006 0.0 3.0 0.0 660803103.0019531 676714301.125 660329235.5751953 679305333.2226562
59455.40768495 2459455.9129023445 294.86999720335007 9.149843752384186 0.0 3.0 1.0 661387959.6142578 677334428.328125 660877771.7431641 679878907.6132812
59455.408390875 2459455.9136082437 295.88649205863476 10.166338607668877 0.0 3.0 0.0 660847486.7353516 676787825.3828125 660372992.4931641 679386511.1210938
59455.40909699 2459455.914314332 296.90325915813446 11.183105707168579 0.0 3.0 1.0 661392715.0131836 677386765.484375 660868162.3623047 679974178.3671875
59455.409802915005 2459455.91502023 297.91975267231464 12.199599221348763 0.0 3.0 0.0 660834093.2109375 676805981.0117188 660362706.2919922 679416549.140625
59455.410509025 2459455.915726312 298.9365103840828 13.216356933116913 0.0 3.0 1.0 661465501.6630859 677413939.359375 660943717.2792969 679943772.5820312
59455.41121495 2459455.916432208 299.9530005455017 14.232847094535828 0.0 3.0 0.0 660906895.0424805 676862040.5429688 660445243.7368164 679457560.3359375
59455.411921060004 2459455.917138288 300.96975557506084 15.249602124094963 0.0 3.0 1.0 661321797.5361328 677305590.3203125 660795818.1225586 679862079.6992188
59455.41262699 2459455.917844187 301.98625043034554 16.266096979379654 0.0 3.0 0.0 660833000.1943359 676756934.9804688 660357872.2661133 679334816.9960938
59455.4133331 2459455.9185502646 303.0030021071434 17.28284865617752 0.0 3.0 1.0 661194919.3564453 677128047.5859375 660672705.2836914 679674854.765625
59455.414039024996 2459455.9192561572 304.01948757469654 18.29933412373066 0.0 3.0 0.0 660599050.2573242 676585074.53125 660124536.2973633 679160667.484375
59455.414745140006 2459455.919962238 305.0362439453602 19.316090494394302 0.0 3.0 1.0 660955878.4140625 676929089.6367188 660432737.6958008 679470900.5507812
59455.415451060006 2459455.920668123 306.052718013525 20.332564562559128 0.0 3.0 0.0 660214725.5229492 676139700.2695312 659748676.8896484 678731789.0585938
59455.416157175 2459455.921374202 307.06947170197964 21.349318251013756 0.0 3.0 1.0 660455598.1044922 676430365.46875 659921530.8642578 678975874.0703125
59455.4168631 2459455.9220800903 308.0859511345625 22.36579768359661 0.0 3.0 0.0 659841752.7392578 675801246.4257812 659358905.4604492 678404083.7851562
59455.417569209996 2459455.922786162 309.10269409418106 23.38254064321518 0.0 3.0 1.0 660264420.1513672 676269836.6171875 659765033.4492188 678893890.0664062
59455.41827514 2459455.923492053 310.11917755007744 24.399024099111557 0.0 3.0 0.0 659583923.6816406 675569467.7148438 659093297.3920898 678153847.3789062
59455.418981245 2459455.9241981176 311.1359104514122 25.41575700044632 0.0 3.0 1.0 660032971.6137695 675998587.4960938 659525586.0078125 678546726.5585938
59455.419687175 2459455.924904007 312.15239122509956 26.432237774133682 0.0 3.0 0.0 659481937.4995117 675384749.4101562 659003156.0703125 677956470.84375
59455.420393285 2459455.925610075 313.1691288203001 27.44897536933422 0.0 3.0 1.0 659959303.8876953 675950739.0742188 659438562.5888672 678553954.4257812
59455.42109921 2459455.926315957 314.18559953570366 28.465446084737778 0.0 3.0 0.0 659363607.3256836 675274412.7695312 658883698.2563477 677864469.765625
59455.421805325 2459455.9270220282 315.20234182477 29.482188373804092 0.0 3.0 1.0 659958410.6181641 675988526.4023438 659453637.8134766 678602101.2148438
59455.422511245 2459455.927727904 316.218803152442 30.498649701476097 0.0 3.0 0.0 659489592.9423828 675439746.703125 659005082.3295898 677994683.4179688
59455.42321736 2459455.9284339733 317.2355427592993 31.515389308333397 0.0 3.0 1.0 659843421.6069336 675835524.7070312 659342294.1054688 678396074.8359375
59455.423923285 2459455.9291398525 318.25200878083706 32.53185532987118 0.0 3.0 0.0 659313564.1323242 675282658.1289062 658836846.253418 677874092.515625
59455.424629395 2459455.9298459156 319.26873967051506 33.54858621954918 0.0 3.0 1.0 659797487.1616211 675781451.4140625 659277668.28125 678378796.1601562
59455.425335325 2459455.930551798 320.2852103859186 34.565056934952736 0.0 3.0 0.0 659328211.0996094 675260413.8007812 658846942.9321289 677829504.1953125
59455.42604143 2459455.931257855 321.3019325584173 35.58177910745144 0.0 3.0 1.0 659645544.8022461 675560096.3320312 659132031.1694336 678092206.9648438
59455.426747360005 2459455.931963736 322.3184012621641 36.598247811198235 0.0 3.0 0.0 659119941.9111328 675087926.375 658631247.1738281 677689437.1328125
59455.42745347 2459455.9326697974 323.3351294696331 37.61497601866722 0.0 3.0 1.0 659562023.1772461 675543187.8164062 659037571.9160156 678091658.0703125
