================== ==================
        time_model         flux_model
  2459685.28704002                1.0
 2459685.289051249                1.0
2459685.2910624784                1.0
2459685.2930737077                1.0
2459685.2950849375                1.0
2459685.2970961668                1.0
 2459685.299107396                1.0
2459685.3011186253                1.0
 2459685.303129855                1.0
2459685.3051410844                1.0
2459685.3071523136                1.0
 2459685.309163543                1.0
 2459685.311174772                1.0
 2459685.313186002                1.0
2459685.3151972312                1.0
2459685.3172084605                1.0
  2459685.31921969                1.0
2459685.3212309196                1.0
 2459685.323242149                1.0
 2459685.325253378                1.0
2459685.3272646074                1.0
 2459685.329275837                1.0
2459685.3312870665                1.0
2459685.3332982957                1.0
 2459685.335309525                1.0
 2459685.337320755                1.0
 2459685.339331984                1.0
2459685.3413432133                1.0
2459685.3433544426                1.0
2459685.3453656724                1.0
2459685.3473769017                1.0
 2459685.349388131                1.0
  2459685.35139936                1.0
  2459685.35341059                1.0
2459685.3554218193                1.0
2459685.3574330485                1.0
 2459685.359444278                1.0
2459685.3614555076                1.0
 2459685.363466737                1.0
 2459685.365477966                1.0
2459685.3674891954                1.0
2459685.3695004247                1.0
2459685.3715116545                1.0
2459685.3735228837                1.0
 2459685.375534113                1.0
2459685.3775453423                1.0
 2459685.379556572                1.0
2459685.3815678013                1.0
2459685.3835790306                1.0
  2459685.38559026                1.0
2459685.3876014897                1.0
 2459685.389612719                1.0
2459685.3916239482                1.0
2459685.3936351775                1.0
2459685.3956464073                1.0
2459685.3976576366                1.0
 2459685.399668866                1.0
 2459685.401680095                1.0
 2459685.403691325                1.0
 2459685.405702554                1.0
2459685.4077137834                1.0
2459685.4097250127                1.0
2459685.4117362425                1.0
2459685.4137474718                1.0
 2459685.415758701                1.0
2459685.4177699303                1.0
  2459685.41978116                1.0
2459685.4217923894                1.0
2459685.4238036186                1.0
 2459685.425814848                1.0
2459685.4278260777                1.0
 2459685.429837307                1.0
2459685.4318485362                1.0
2459685.4338597655                1.0
 2459685.435870995                1.0
2459685.4378822246                1.0
 2459685.439893454                1.0
 2459685.441904683                1.0
2459685.4439159124                1.0
 2459685.445927142                1.0
2459685.4479383714                1.0
2459685.4499496007                1.0
  2459685.45196083                1.0
  2459685.45397206                1.0
 2459685.455983289                1.0
2459685.4579945183                1.0
2459685.4600057476                1.0
2459685.4620169774                1.0
2459685.4640282067                1.0
 2459685.466039436                1.0
 2459685.468050665                1.0
 2459685.470061895                1.0
2459685.4720731243                1.0
2459685.4740843535                1.0
 2459685.476095583                1.0
2459685.4781068126                1.0
 2459685.480118042                1.0
 2459685.482129271                1.0
2459685.4841405004                1.0
  2459685.48615173                1.0
2459685.4881629595                1.0
2459685.4901741887                1.0
 2459685.492185418                1.0
 2459685.494196648                1.0
 2459685.496207877                1.0
2459685.4982191063                1.0
================== ==================
